ledger_id,merchant_id,amount,currency,transaction_date,reference,entry_type
L000001,M004,362.25,INR,2026-08-24,UTR-S000001,PAYMENT
L000002,M008,2440.53,INR,2026-08-22,UTR-S000002,PAYMENT
L000003,M004,7195.7,INR,2026-08-28,UTR-S000003,PAYMENT
L000004,M003,6291.76,INR,2026-08-26,UTR-S000004,PAYMENT
L000005,M002,412.44,INR,2026-08-21,UTR-S000005,PAYMENT
L000006,M007,2539.62,INR,2026-08-28,UTR-S000006,PAYMENT
L000007,M020,378.24,INR,2026-08-28,UTR-S000007,PAYMENT
L000008,M007,7608,INR,2026-08-30,UTR-S000008,PAYMENT
L000009,M018,4498.98,INR,2026-08-23,UTR-S000009,PAYMENT
L000010,M015,6278.89,INR,2026-08-24,UTR-S000010,PAYMENT
L000011,M001,8056.67,INR,2026-08-22,UTR-S000011,PAYMENT
L000012,M014,3667.78,INR,2026-08-24,UTR-S000012,PAYMENT
L000013,M005,2357.72,INR,2026-08-25,UTR-S000013,PAYMENT
L000014,M004,1072.51,INR,2026-08-26,UTR-S000014,PAYMENT
L000015,M004,3864.17,INR,2026-08-25,UTR-S000015,PAYMENT
L000016,M020,2873.7,INR,2026-08-20,UTR-S000016,PAYMENT
L000017,M015,5722.75,INR,2026-08-21,UTR-S000017,PAYMENT
L000018,M013,926.27,INR,2026-08-28,UTR-S000018,PAYMENT
L000019,M010,8796.93,INR,2026-08-30,UTR-S000019,PAYMENT
L000020,M020,9384.63,INR,2026-08-25,UTR-S000020,PAYMENT
L000021,M019,2116.29,INR,2026-08-21,UTR-S000021,PAYMENT
L000022,M002,7033.84,INR,2026-08-23,UTR-S000022,PAYMENT
L000023,M010,936.67,INR,2026-08-23,UTR-S000023,PAYMENT
L000024,M004,4085.91,INR,2026-08-24,UTR-S000024,PAYMENT
L000025,M015,6765.63,INR,2026-08-25,UTR-S000025,PAYMENT
L000026,M006,3981.62,INR,2026-08-25,UTR-S000026,PAYMENT
L000027,M007,7127.29,INR,2026-08-24,UTR-S000027,PAYMENT
L000028,M003,6487.2,INR,2026-08-30,UTR-S000028,PAYMENT
L000029,M006,5700.86,INR,2026-08-23,UTR-S000029,PAYMENT
L000030,M006,4947.14,INR,2026-08-26,UTR-S000030,PAYMENT
L000031,M009,9803.42,INR,2026-08-30,UTR-S000031,PAYMENT
L000032,M018,2402.83,INR,2026-08-30,UTR-S000032,PAYMENT
L000033,M011,8937.94,INR,2026-08-20,UTR-S000033,PAYMENT
L000034,M008,8717.22,INR,2026-08-20,UTR-S000034,PAYMENT
L000035,M011,4306.51,INR,2026-08-24,UTR-S000035,PAYMENT
L000036,M003,2312.31,INR,2026-08-29,UTR-S000036,PAYMENT
L000037,M011,2329.55,INR,2026-08-30,UTR-S000037,PAYMENT
L000038,M016,4248.5,INR,2026-08-30,UTR-S000038,PAYMENT
L000039,M015,1598.11,INR,2026-08-24,UTR-S000039,PAYMENT
L000040,M005,2686.07,INR,2026-08-28,UTR-S000040,PAYMENT
