settlement_id,merchant_id,amount,currency,settlement_date,reference
S000001,M004,362.25,INR,2026-08-24,UTR-S000001
S000002,M008,2440.53,INR,2026-08-22,UTR-S000002
S000003,M004,7195.7,INR,2026-08-28,UTR-S000003
S000004,M003,6291.76,INR,2026-08-26,UTR-S000004
S000005,M002,412.44,INR,2026-08-21,UTR-S000005
S000006,M007,2539.62,INR,2026-08-28,UTR-S000006
S000007,M020,378.24,INR,2026-08-28,UTR-S000007
S000008,M007,7608,INR,2026-08-30,UTR-S000008
S000009,M018,4498.98,INR,2026-08-23,UTR-S000009
S000010,M015,6278.89,INR,2026-08-24,UTR-S000010
S000011,M001,8056.67,INR,2026-08-22,UTR-S000011
S000012,M014,3667.78,INR,2026-08-24,UTR-S000012
S000013,M005,2357.72,INR,2026-08-25,UTR-S000013
S000014,M004,1072.51,INR,2026-08-26,UTR-S000014
S000015,M004,3864.17,INR,2026-08-25,UTR-S000015
S000016,M020,2873.7,INR,2026-08-20,UTR-S000016
S000017,M015,5722.75,INR,2026-08-21,UTR-S000017
S000018,M013,926.27,INR,2026-08-28,UTR-S000018
S000019,M010,8796.93,INR,2026-08-30,UTR-S000019
S000020,M020,9384.63,INR,2026-08-25,UTR-S000020
S000021,M019,2116.29,INR,2026-08-21,UTR-S000021
S000022,M002,7033.84,INR,2026-08-23,UTR-S000022
S000023,M010,936.67,INR,2026-08-23,UTR-S000023
S000024,M004,4085.91,INR,2026-08-24,UTR-S000024
S000025,M015,6765.63,INR,2026-08-25,UTR-S000025
S000026,M006,3981.62,INR,2026-08-25,UTR-S000026
S000027,M007,7127.29,INR,2026-08-24,UTR-S000027
S000028,M003,6487.2,INR,2026-08-30,UTR-S000028
S000029,M006,5700.86,INR,2026-08-23,UTR-S000029
S000030,M006,4947.14,INR,2026-08-26,UTR-S000030
S000031,M009,9803.42,INR,2026-08-30,UTR-S000031
S000032,M018,2402.83,INR,2026-08-30,UTR-S000032
S000033,M011,8937.94,INR,2026-08-20,UTR-S000033
S000034,M008,8717.22,INR,2026-08-20,UTR-S000034
S000035,M011,4306.51,INR,2026-08-24,UTR-S000035
S000036,M003,2312.31,INR,2026-08-29,UTR-S000036
S000037,M011,2329.55,INR,2026-08-30,UTR-S000037
S000038,M016,4248.5,INR,2026-08-30,UTR-S000038
S000039,M015,1598.11,INR,2026-08-24,UTR-S000039
S000040,M005,2686.07,INR,2026-08-28,UTR-S000040
S000041,M018,2855.04,INR,2026-08-29,UTR-S000041
S000042,M014,9514.35,INR,2026-08-29,UTR-S000042
S000043,M013,3895.8,INR,2026-08-23,UTR-S000043
S000044,M005,5442.77,INR,2026-08-27,UTR-S000044
S000045,M003,8024.95,INR,2026-08-20,UTR-S000045
S000046,M004,1702.65,INR,2026-08-30,UTR-S000046
S000047,M006,8405.55,INR,2026-08-30,UTR-S000047
S000048,M014,6353.8,INR,2026-08-21,UTR-S000048
S000049,M013,4101.56,INR,2026-08-29,UTR-S000049
S000050,M015,5648.16,INR,2026-08-24,UTR-S000050
S000051,M018,9125.92,INR,2026-08-20,UTR-S000051
S000052,M004,7248.25,INR,2026-08-28,UTR-S000052
S000053,M009,8159.34,INR,2026-08-30,UTR-S000053
S000054,M011,1269.7,INR,2026-08-24,UTR-S000054
S000055,M014,1758.4,INR,2026-08-27,UTR-S000055
S000056,M001,7671.68,INR,2026-08-24,UTR-S000056
S000057,M017,8089.75,INR,2026-08-22,UTR-S000057
S000058,M017,9669.59,INR,2026-08-21,UTR-S000058
S000059,M010,8925.54,INR,2026-08-30,UTR-S000059
S000060,M017,6485.51,INR,2026-08-23,UTR-S000060
S000061,M005,4020.77,INR,2026-08-22,UTR-S000061
S000062,M018,8264.49,INR,2026-08-28,UTR-S000062
S000063,M001,6380.38,INR,2026-08-25,UTR-S000063
S000064,M016,304.22,INR,2026-08-21,UTR-S000064
S000065,M012,9314.06,INR,2026-08-24,UTR-S000065
S000066,M008,707.38,INR,2026-08-23,UTR-S000066
S000067,M019,925.82,INR,2026-08-21,UTR-S000067
S000068,M016,8656.62,INR,2026-08-21,UTR-S000068
S000069,M018,8130.35,INR,2026-08-22,UTR-S000069
S000070,M005,7017.98,INR,2026-08-27,UTR-S000070
S000071,M018,1831.48,INR,2026-08-24,UTR-S000071
S000072,M017,9248.12,INR,2026-08-29,UTR-S000072
S000073,M014,2320.86,INR,2026-08-28,UTR-S000073
S000074,M007,7575.81,INR,2026-08-24,UTR-S000074
S000075,M013,7143.14,INR,2026-08-30,UTR-S000075
S000076,M012,4693.81,INR,2026-08-28,UTR-S000076
S000077,M015,1368.82,INR,2026-08-23,UTR-S000077
S000078,M008,771.36,INR,2026-08-25,UTR-S000078
S000079,M001,6268.86,INR,2026-08-28,UTR-S000079
S000080,M008,6270.24,INR,2026-08-23,UTR-S000080
S000081,M001,844.41,INR,2026-08-30,UTR-S000081
